Freq.	V(vpwrout)	V(vpztin)	I(Pwrout)	I(Pztin)
1.54881661891248e+004	(-2.10757490390488e+001dB,-2.94459622191264e+001°)	(5.81507647109920e+001dB,5.90589612174650e+001°)	(-1.21075748652538e+002dB,-2.94459629554496e+001°)	(-7.86970507714693e+000dB,6.06389133258202e+001°)
1.58489319246111e+004	(-2.11774054594547e+001dB,-2.93368384607376e+001°)	(5.82488232079500e+001dB,5.91348894858986e+001°)	(-1.21177404689379e+002dB,-2.93368360427707e+001°)	(-7.77134013677486e+000dB,6.07513043937993e+001°)
1.62181009735893e+004	(-2.12785533275595e+001dB,-2.92139218231871e+001°)	(5.83473768039353e+001dB,5.92238045806065e+001°)	(-1.21278553588257e+002dB,-2.92139187736670e+001°)	(-7.67246563630118e+000dB,6.08775345239883e+001°)
1.65958690743756e+004	(-2.13791158381274e+001dB,-2.90773518471077e+001°)	(5.84465016676154e+001dB,5.93255492427632e+001°)	(-1.21379115097583e+002dB,-2.90773442207374e+001°)	(-7.57300472349033e+000dB,6.10174658940259e+001°)
1.69824365246174e+004	(-2.14790175567759e+001dB,-2.89272897947598e+001°)	(5.85462725666152e+001dB,5.94399440781780e+001°)	(-1.21479017912233e+002dB,-2.89272954924087e+001°)	(-7.47288191477594e+000dB,6.11709389810650e+001°)
1.73780082874937e+004	(-2.15781845993852e+001dB,-2.87639180387800e+001°)	(5.86467626866659e+001dB,5.95667881604027e+001°)	(-1.21578183562057e+002dB,-2.87639196598761e+001°)	(-7.37202327456111e+000dB,6.13377731752801e+001°)
1.77827941003892e+004	(-2.16765448057762e+001dB,-2.85874393809677e+001°)	(5.87480434564180e+001dB,5.97058597039778e+001°)	(-1.21676545368814e+002dB,-2.85874403525160e+001°)	(-7.27035658881555e+000dB,6.15177674635912e+001°)
1.81970085860998e+004	(-2.17740279057487e+001dB,-2.83980762992878e+001°)	(5.88501843798192e+001dB,5.98569168093942e+001°)	(-1.21774028801609e+002dB,-2.83980776765800e+001°)	(-7.16781153095502e+000dB,6.17107011796784e+001°)
1.86208713666287e+004	(-2.18705656779681e+001dB,-2.81960701298648e+001°)	(5.89532528755698e+001dB,6.00196982728274e+001°)	(-1.21870563194525e+002dB,-2.81960724537964e+001°)	(-7.06431982062670e+000dB,6.19163348236693e+001°)
1.90546071796325e+004	(-2.19660921004487e+001dB,-2.79816801856152e+001°)	(5.90573141249002e+001dB,6.01939244595305e+001°)	(-1.21966092801851e+002dB,-2.79816772568866e+001°)	(-6.95981537414278e+000dB,6.21344109488498e+001°)
1.94984459975804e+004	(-2.20605434913923e+001dB,-2.77551828130691e+001°)	(5.91624309289100e+001dB,6.03792982383996e+001°)	(-1.22060542234048e+002dB,-2.77551755419017e+001°)	(-6.85423444508172e+000dB,6.23646550972970e+001°)
1.99526231496888e+004	(-2.21538586412722e+001dB,-2.75168703964891e+001°)	(5.92686635745740e+001dB,6.05755059697467e+001°)	(-1.22153858976297e+002dB,-2.75168788825898e+001°)	(-6.74751575634941e+000dB,6.26067768041382e+001°)
2.04173794466953e+004	(-2.22459789336724e+001dB,-2.72670503074525e+001°)	(5.93760697119011e+001dB,6.07822185473139e+001°)	(-1.22245978171171e+002dB,-2.72670422905568e+001°)	(-6.63960062079056e+000dB,6.28604706436734e+001°)
2.08929613085404e+004	(-2.23368484560119e+001dB,-2.70060438101032e+001°)	(5.94847042411111e+001dB,6.09990924844922e+001°)	(-1.22336850325195e+002dB,-2.70060390230255e+001°)	(-6.53043305183341e+000dB,6.31254173274549e+001°)
2.13796208950223e+004	(-2.24264140983817e+001dB,-2.67341849229734e+001°)	(5.95946192115990e+001dB,6.12257710441373e+001°)	(-1.22426415623585e+002dB,-2.67341820050791e+001°)	(-6.41995986219895e+000dB,6.34012848418765e+001°)
2.18776162394955e+004	(-2.25146256408582e+001dB,-2.64518192457618e+001°)	(5.97058637323153e+001dB,6.14618854035217e+001°)	(-1.22514626638521e+002dB,-2.64518222229565e+001°)	(-6.30813075097090e+000dB,6.36877296229726e+001°)
2.23872113856834e+004	(-2.26014358284447e+001dB,-2.61593027544110e+001°)	(5.98184838944096e+001dB,6.17070558504965e+001°)	(-1.22601435789977e+002dB,-2.61593089598243e+001°)	(-6.19489837845544e+000dB,6.39843977612149e+001°)
2.29086765276777e+004	(-2.26868004334315e+001dB,-2.58570005722984e+001°)	(5.99325227063367e+001dB,6.19608930043979e+001°)	(-1.22686800571447e+002dB,-2.58570001849212e+001°)	(-6.08021842838945e+000dB,6.42909262304135e+001°)
2.34422881531992e+004	(-2.27706783052055e+001dB,-2.55452857225639e+001°)	(6.00480200413943e+001dB,6.22229990550618e+001°)	(-1.22770680065122e+002dB,-2.55452935474312e+001°)	(-5.96404965746228e+000dB,6.46069441384854e+001°)
2.39883291901949e+004	(-2.28530314066437e+001dB,-2.52245378676308e+001°)	(6.01650125985465e+001dB,6.24929690151290e+001°)	(-1.22853030961606e+002dB,-2.52245385485955e+001°)	(-5.84635393165408e+000dB,6.49320739849841e+001°)
2.45470891568503e+004	(-2.29338248379244e+001dB,-2.48951420442354e+001°)	(6.02835338756986e+001dB,6.27703919771750e+001°)	(-1.22933824188271e+002dB,-2.48951406787704e+001°)	(-5.72709624978367e+000dB,6.52659329302780e+001°)
2.51188643150958e+004	(-2.30130268469132e+001dB,-2.45574873976568e+001°)	(6.04036141562557e+001dB,6.30548523711499e+001°)	(-1.23013024564695e+002dB,-2.45574909017638e+001°)	(-5.60624475380849e+000dB,6.56081340592871e+001°)
2.57039578276886e+004	(-2.30906088267049e+001dB,-2.42119659241700e+001°)	(6.05252805083799e+001dB,6.33459312143889e+001°)	(-1.23090607517033e+002dB,-2.42119646504857e+001°)	(-5.48377072597268e+000dB,6.59582876405696e+001°)
2.63026799189538e+004	(-2.31665453003199e+001dB,-2.38589712265087e+001°)	(6.06485567969399e+001dB,6.36432073483902e+001°)	(-1.23166544935384e+002dB,-2.38589728572450e+001°)	(-5.35964857345039e+000dB,6.63160023711291e+001°)
2.69153480392691e+004	(-2.32408138928854e+001dB,-2.34988972896772e+001°)	(6.07734637078156e+001dB,6.39462586556518e+001°)	(-1.23240814571726e+002dB,-2.34988921249178e+001°)	(-5.23385580026323e+000dB,6.66808866015251e+001°)
2.75422870333816e+004	(-2.33133952914939e+001dB,-2.31321372826700e+001°)	(6.09000187843581e+001dB,6.42546632510461e+001°)	(-1.23313395578152e+002dB,-2.31321311858933e+001°)	(-5.10637296687418e+000dB,6.70525495338865e+001°)
2.81838293126445e+004	(-2.33842731933204e+001dB,-2.27590823918238e+001°)	(6.10282364754167e+001dB,6.45680006414448e+001°)	(-1.23384272095814e+002dB,-2.27590777807844e+001°)	(-4.97718363814699e+000dB,6.74306023902617e+001°)
2.88403150312660e+004	(-2.34534342424394e+001dB,-2.23801206922711e+001°)	(6.11581281944826e+001dB,6.48858528481438e+001°)	(-1.23453433568860e+002dB,-2.23801173878824e+001°)	(-4.84627431981980e+000dB,6.78146595393388e+001°)
2.95120922666638e+004	(-2.35208679558849e+001dB,-2.19956360616374e+001°)	(6.12897023893996e+001dB,6.52078054870760e+001°)	(-1.23520868026807e+002dB,-2.19956390942164e+001°)	(-4.71363438438184e+000dB,6.82043395859407e+001°)
3.01995172040201e+004	(-2.35865666396105e+001dB,-2.16060071414830e+001°)	(6.14229646219756e+001dB,6.55334488019792e+001°)	(-1.23586566702130e+002dB,-2.16060104489663e+001°)	(-4.57925598672379e+000dB,6.85992664070743e+001°)
3.09029543251359e+004	(-2.36505252950199e+001dB,-2.12116063505265e+001°)	(6.15579176568162e+001dB,6.58623786462436e+001°)	(-1.23650525434099e+002dB,-2.12116054350146e+001°)	(-4.44313397043942e+000dB,6.89990701401770e+001°)
3.16227766016837e+004	(-2.37127415169712e+001dB,-2.08127989541359e+001°)	(6.16945615584686e+001dB,6.61941974092964e+001°)	(-1.23712742255322e+002dB,-2.08127911650590e+001°)	(-4.30526576551322e+000dB,6.94033881156626e+001°)
3.23593656929628e+004	(-2.37732153836461e+001dB,-2.04099421921022e+001°)	(6.18328937964753e+001dB,6.65285148851022e+001°)	(-1.23773214744875e+002dB,-2.04099441588102e+001°)	(-4.16565127786679e+000dB,6.98118657250995e+001°)
3.31131121482591e+004	(-2.38319493395911e+001dB,-2.00033844692457e+001°)	(6.19729093570221e+001dB,6.68649490789284e+001°)	(-1.23831948395944e+002dB,-2.00033867991929e+001°)	(-4.02429277218550e+000dB,7.02241572346354e+001°)
3.38844156139202e+004	(-2.38889480723897e+001dB,-1.95934646099169e+001°)	(6.21146008607120e+001dB,6.72031269509749e+001°)	(-1.23888948682052e+002dB,-1.95934674583345e+001°)	(-3.88119474818183e+000dB,7.06399265281533e+001°)
3.46736850452531e+004	(-2.39442183839900e+001dB,-1.91805111785252e+001°)	(6.22579586854308e+001dB,6.75426850949291e+001°)	(-1.23944217420875e+002dB,-1.91805062254337e+001°)	(-3.73636381164065e+000dB,7.10588477875830e+001°)
3.54813389233575e+004	(-2.39977690575106e+001dB,-1.87648418674721e+001°)	(6.24029710934741e+001dB,6.78832703503355e+001°)	(-1.23997769704685e+002dB,-1.87648440613256e+001°)	(-3.58980854088721e+000dB,7.14806061042953e+001°)
3.63078054770101e+004	(-2.40496107203358e+001dB,-1.83467629528128e+001°)	(6.25496243621125e+001dB,6.82245403483265e+001°)	(-1.24049613424016e+002dB,-1.83467612189586e+001°)	(-3.44153934954950e+000dB,7.19048980243534e+001°)
3.71535229097172e+004	(-2.40997557043217e+001dB,-1.79265688179903e+001°)	(6.26979029167676e+001dB,6.85661639907313e+001°)	(-1.24099757271818e+002dB,-1.79265721420100e+001°)	(-3.29156834637097e+000dB,7.23314320218053e+001°)
3.80189396320560e+004	(-2.41482179041067e+001dB,-1.75045415455662e+001°)	(6.28477894657941e+001dB,6.89078218627397e+001°)	(-1.24148219753991e+002dB,-1.75045452973524e+001°)	(-3.13990919319013e+000dB,7.27599289099398e+001°)
3.89045144994280e+004	(-2.41950126339318e+001dB,-1.70809505753058e+001°)	(6.29992651364553e+001dB,6.92492065806475e+001°)	(-1.24195013358337e+002dB,-1.70809501164612e+001°)	(-2.98657696135883e+000dB,7.31901221794199e+001°)
3.98107170553496e+004	(-2.42401564841688e+001dB,-1.66560524285341e+001°)	(6.31523096108847e+001dB,6.95900230754299e+001°)	(-1.24240154725390e+002dB,-1.66560511634736e+001°)	(-2.83158798791213e+000dB,7.36217582761359e+001°)
4.07380277804112e+004	(-2.42836671778528e+001dB,-1.62300904960470e+001°)	(6.33069012617311e+001dB,6.99299888144950e+001°)	(-1.24283665674044e+002dB,-1.62300837689491e+001°)	(-2.67495973168488e+000dB,7.40545968093736e+001°)
4.16869383470335e+004	(-2.43255634281805e+001dB,-1.58032948885254e+001°)	(6.34630172865172e+001dB,7.02688339634106e+001°)	(-1.24325564512580e+002dB,-1.58032943747582e+001°)	(-2.51671063041093e+000dB,7.44884107034905e+001°)
4.26579518801592e+004	(-2.43658647973783e+001dB,-1.53758823465164e+001°)	(6.36206338403030e+001dB,7.06063014902621e+001°)	(-1.24365865180029e+002dB,-1.53758787820468e+001°)	(-2.35685995918556e+000dB,7.49229862838658e+001°)
4.36515832240165e+004	(-2.44045915576802e+001dB,-1.49480562078641e+001°)	(6.37797261659091e+001dB,7.09421472152657e+001°)	(-1.24404594007834e+002dB,-1.49480599133716e+001°)	(-2.19542769101100e+000dB,7.53581233109889e+001°)
4.46683592150962e+004	(-2.44417645546950e+001dB,-1.45200064296905e+001°)	(6.39402687214147e+001dB,7.12761398088075e+001°)	(-1.24441764224693e+002dB,-1.45200074586824e+001°)	(-2.03243435975318e+000dB,7.57936349548308e+001°)
4.57088189614874e+004	(-2.44774050738135e+001dB,-1.40919096620846e+001°)	(6.41022353042814e+001dB,7.16080607408481e+001°)	(-1.24477406786724e+002dB,-1.40919090072325e+001°)	(-1.86790092609223e+000dB,7.62293477208175e+001°)
4.67735141287197e+004	(-2.45115347099382e+001dB,-1.36639293704331e+001°)	(6.42655991718153e+001dB,7.19377041851213e+001°)	(-1.24511532898622e+002dB,-1.36639278186386e+001°)	(-1.70184864683204e+000dB,7.66651013248733e+001°)
4.78630092322637e+004	(-2.45441752408703e+001dB,-1.32362160034075e+001°)	(6.44303331576398e+001dB,7.22648768815579e+001°)	(-1.24544175991426e+002dB,-1.32362140651525e+001°)	(-1.53429894786105e+000dB,7.71007485242439e+001°)
4.89778819368445e+004	(-2.45753485046862e+001dB,-1.28089072032884e+001°)	(6.45964097838469e+001dB,7.25893979602477e+001°)	(-1.24575348926310e+002dB,-1.28089052208564e+001°)	(-1.36527330104580e+000dB,7.75361549036225e+001°)
5.01187233627271e+004	(-2.46050762813134e+001dB,-1.23821280557394e+001°)	(6.47638013686279e+001dB,7.29110987305366e+001°)	(-1.24605074631628e+002dB,-1.23821251185960e+001°)	(-1.19479310537528e+000dB,7.79711986244835e+001°)
5.12861383991363e+004	(-2.46333801784133e+001dB,-1.19559913757890e+001°)	(6.49324801292850e+001dB,7.32298224387562e+001°)	(-1.24633379045871e+002dB,-1.19559884035982e+001°)	(-1.02287957242906e+000dB,7.84057701353398e+001°)
5.24807460249771e+004	(-2.46602815218225e+001dB,-1.15305980268446e+001°)	(6.51024182803882e+001dB,7.35454239978673e+001°)	(-1.24660280806091e+002dB,-1.15305973213212e+001°)	(-8.49553616339668e-001dB,7.88397718495917e+001°)
5.37031796370251e+004	(-2.46858012505592e+001dB,-1.11060372703022e+001°)	(6.52735881270896e+001dB,7.38577696924972e+001°)	(-1.24685799910443e+002dB,-1.11060350344631e+001°)	(-6.74835748379943e-001dB,7.92731177935591e+001°)
5.49540873857623e+004	(-2.47099598164598e+001dB,-1.06823871423102e+001°)	(6.54459621535544e+001dB,7.41667368625616e+001°)	(-1.24709960425542e+002dB,-1.06823871824899e+001°)	(-4.98745976180153e-001dB,7.97057332258419e+001°)
5.62341325190347e+004	(-2.47327770884572e+001dB,-1.02597148554027e+001°)	(6.56195131065287e+001dB,7.44722135686400e+001°)	(-1.24732777347510e+002dB,-1.02597167616749e+001°)	(-3.21303707580705e-001dB,8.01375542310929e+001°)
5.75439937337155e+004	(-2.47542722615182e+001dB,-9.83807722262894e+000°)	(6.57942140740606e+001dB,7.47740982420557e+001°)	(-1.24754269933638e+002dB,-9.83807604106063e+000°)	(-1.42527659152734e-001dB,8.05685272931881e+001°)
5.88843655355587e+004	(-2.47744637701165e+001dB,-9.41752110120540e+000°)	(6.59700385595443e+001dB,7.50722993225963e+001°)	(-1.24774464698434e+002dB,-9.41752314247066e+000°)	(3.75642306565357e-002dB,8.09986088459876e+001°)
6.02559586074356e+004	(-2.47933692062594e+001dB,-8.99808385433840e+000°)	(6.61469605511197e+001dB,7.53667348864663e+001°)	(-1.24793368606045e+002dB,-8.99808381047594e+000°)	(2.18954883929992e-001dB,8.14277648073246e+001°)
6.16595001861480e+004	(-2.48110052419159e+001dB,-8.57979382855904e+000°)	(6.63249545866419e+001dB,7.56573322670704e+001°)	(-1.24811006044189e+002dB,-8.57979316356614e+000°)	(4.01628161139921e-001dB,8.18559700962696e+001°)
6.30957344480191e+004	(-2.48273875557769e+001dB,-8.16267084518491e+000°)	(6.65039958143576e+001dB,7.59440276709290e+001°)	(-1.24827386411916e+002dB,-8.16267231470529e+000°)	(5.85568934704661e-001dB,8.22832081370216e+001°)
6.45654229034654e+004	(-2.48425307642066e+001dB,-7.74672670418000e+000°)	(6.66840600495149e+001dB,7.62267657909258e+001°)	(-1.24842531840993e+002dB,-7.74672695227702e+000°)	(7.70763158310262e-001dB,8.27094703481447e+001°)
6.60693448007594e+004	(-2.48564483563011e+001dB,-7.33196569901758e+000°)	(6.68651238270807e+001dB,7.65054994188333e+001°)	(-1.24856447228179e+002dB,-7.33196336386406e+000°)	(9.57197932066674e-001dB,8.31347556221047e+001°)
6.76082975391980e+004	(-2.48691526329065e+001dB,-6.91838514121105e+000°)	(6.70471644508194e+001dB,7.67801890589715e+001°)	(-1.24869149888537e+002dB,-6.91838351569117e+000°)	(1.14486156367495e+000dB,8.35590697954196e+001°)
6.91830970918934e+004	(-2.48806546494657e+001dB,-6.50597589366465e+000°)	(6.72301600389875e+001dB,7.70508025446150e+001°)	(-1.24880655770891e+002dB,-6.50597608316330e+000°)	(1.33374362570446e+000dB,8.39824251061406e+001°)
7.07945784384136e+004	(-2.48909641626342e+001dB,-6.09472291171853e+000°)	(6.74140895668341e+001dB,7.73173146585809e+001°)	(-1.24890965295608e+002dB,-6.09472418612992e+000°)	(1.52383500905043e+000dB,8.44048396478883e+001°)
7.24435960074988e+004	(-2.49000895804714e+001dB,-5.68460579122177e+000°)	(6.75989329062552e+001dB,7.75797067593675e+001°)	(-1.24900087730653e+002dB,-5.68460440142892e+000°)	(1.71512797269755e+000dB,8.48263368133261e+001°)
7.41310241300915e+004	(-2.49080379161850e+001dB,-5.27559932297605e+000°)	(6.77846708627923e+001dB,7.78379664139061e+001°)	(-1.24908039240288e+002dB,-5.27560010851144e+000°)	(1.90761618993443e+000dB,8.52469447319791e+001°)
7.58577575029181e+004	(-2.49148147453188e+001dB,-4.86767405301048e+000°)	(6.79712852102690e+001dB,7.80920870379614e+001°)	(-1.24914813610983e+002dB,-4.86767419300473e+000°)	(2.10129479099426e+000dB,8.56666957019990e+001°)
7.76247116628689e+004	(-2.49204241662983e+001dB,-4.46079684821675e+000°)	(6.81587587233589e+001dB,7.83420675450114e+001°)	(-1.24920421944227e+002dB,-4.46079632415884e+000°)	(2.29616040222743e+000dB,8.60856256164355e+001°)
7.94328234724279e+004	(-2.49248687643085e+001dB,-4.05493146685645e+000°)	(6.83470752083338e+001dB,7.85879120043194e+001°)	(-1.24924868388450e+002dB,-4.05493195637684e+000°)	(2.49221118187279e+000dB,8.65037733836833e+001°)
8.12830516164096e+004	(-2.49281495784760e+001dB,-3.65003913378153e+000°)	(6.85362195322627e+001dB,7.88296293087607e+001°)	(-1.24928148403490e+002dB,-3.65003904112726e+000°)	(2.68944685241958e+000dB,8.69211803439305e+001°)
8.31763771102668e+004	(-2.49302660723250e+001dB,-3.24607911972409e+000°)	(6.87261776509611e+001dB,7.90672328529113e+001°)	(-1.24930264340339e+002dB,-3.24607888130915e+000°)	(2.88786872954810e+000dB,8.73378896810919e+001°)
8.51138038202373e+004	(-2.49312161075164e+001dB,-2.84300932444310e+000°)	(6.89169366359598e+001dB,7.93007402217378e+001°)	(-1.24931215046983e+002dB,-2.84300907284448e+000°)	(3.08747974766446e+000dB,8.77539458302235e+001°)
8.70963589956077e+004	(-2.49309959209313e+001dB,-2.44078686312290e+000°)	(6.91084847007421e+001dB,7.95301728901388e+001°)	(-1.24930994095535e+002dB,-2.44078645592972e+000°)	(3.28828448198045e+000dB,8.81693938822382e+001°)
8.91250938133742e+004	(-2.49296001051203e+001dB,-2.03936865556585e+000°)	(6.93008112265471e+001dB,7.97555559335318e+001°)	(-1.24929600242661e+002dB,-2.03936910980773e+000°)	(3.49028916705926e+000dB,8.85842789862069e+001°)
9.12010839355906e+004	(-2.49270215921933e+001dB,-1.63871201738850e+000°)	(6.94939067880063e+001dB,7.99769177495814e+001°)	(-1.24927020033320e+002dB,-1.63871162505294e+000°)	(3.69350171176542e+000dB,8.89986457487904e+001°)
9.33254300796988e+004	(-2.49232516412343e+001dB,-1.23877525232477e+000°)	(6.96877631788844e+001dB,8.01942897910735e+001°)	(-1.24923252164538e+002dB,-1.23877545987791e+000°)	(3.89793171054342e+000dB,8.94125376339702e+001°)
9.54992586021432e+004	(-2.49182798293385e+001dB,-8.39518244664557e-001°)	(6.98823734381969e+001dB,8.04077063099195e+001°)	(-1.24918281422680e+002dB,-8.39518344683431e-001°)	(4.10359045090615e+000dB,8.98259963617403e+001°)
9.77237220955807e+004	(-2.49120940463806e+001dB,-4.40903050323784e-001°)	(7.00777318769713e+001dB,8.06172041121702e+001°)	(-1.24912092620347e+002dB,-4.40903057016542e-001°)	(4.31049091700389e+000dB,9.02390613100270e+001°)
9.99999999999996e+004	(-2.49046804936144e+001dB,-4.28944851270592e-002°)	(7.02738341059378e+001dB,8.08228223239181e+001°)	(-1.24904681061613e+002dB,-4.28944786058651e-002°)	(4.51864778921743e+000dB,9.06517689187874e+001°)
1.02329299228075e+005	(-2.48960236862115e+001dB,3.54539291861891e-001°)	(7.04706770644250e+001dB,8.10246021679112e+001°)	(-1.24896024758082e+002dB,3.54539366302739e-001°)	(4.72807743960371e+000dB,9.10641521007425e+001°)
1.04712854805090e+005	(-2.48861064598370e+001dB,7.51426202050891e-001°)	(7.06682590507393e+001dB,8.12225867506323e+001°)	(-1.24886107080610e+002dB,7.51426101308921e-001°)	(4.93879792315713e+000dB,9.14762396593258e+001°)
1.07151930523760e+005	(-2.48749099813348e+001dB,1.14778968086160e+000°)	(7.08665797543234e+001dB,8.14168208596513e+001°)	(-1.24874909848451e+002dB,1.14778955839716e+000°)	(5.15082896476380e+000dB,9.18880557179021e+001°)
1.09647819614318e+005	(-2.48624137635785e+001dB,1.54364812413431e+000°)	(7.10656402899825e+001dB,8.16073507709440e+001°)	(-1.24862413385304e+002dB,1.54364811856210e+000°)	(5.36419194185482e+000dB,9.22996191634405e+001°)
1.12201845430196e+005	(-2.48485956844824e+001dB,1.93901435095845e+000°)	(7.12654432344995e+001dB,8.17942240659379e+001°)	(-1.24848594853892e+002dB,1.93901456151035e+000°)	(5.57890986271405e+000dB,9.27109431073206e+001°)
1.14815362149688e+005	(-2.48334320101468e+001dB,2.33389508679060e+000°)	(7.14659926659426e+001dB,8.19774894579855e+001°)	(-1.24833433507260e+002dB,2.33389567182804e+000°)	(5.79500734051832e+000dB,9.31220343685849e+001°)
1.17489755493952e+005	(-2.48168974220154e+001dB,2.72829047136549e+000°)	(7.16672942060141e+001dB,8.21571966279782e+001°)	(-1.24816898695349e+002dB,2.72829044110681e+000°)	(6.01251056325520e+000dB,9.35328929836619e+001°)
1.20226443461741e+005	(-2.47989650478693e+001dB,3.12219359615773e+000°)	(7.18693550657831e+001dB,8.23333960688183e+001°)	(-1.24798963736860e+002dB,3.12219340373871e+000°)	(6.23144725967261e+000dB,9.39435117475036e+001°)
1.23026877081238e+005	(-2.47796064963675e+001dB,3.51559007670295e+000°)	(7.20721840951844e+001dB,8.25061389384641e+001°)	(-1.24779604279065e+002dB,3.51558945351430e+000°)	(6.45184666163025e+000dB,9.43538757920619e+001°)
1.25892541179416e+005	(-2.47587918947465e+001dB,3.90845766541946e+000°)	(7.22757918366768e+001dB,8.26754769212734e+001°)	(-1.24758794876938e+002dB,3.90845982090557e+000°)	(6.67373946322223e+000dB,9.47639622072457e+001°)
1.28824955169313e+005	(-2.47364899291585e+001dB,4.30076591101332e+000°)	(7.24801905834911e+001dB,8.28414620973780e+001°)	(-1.24736490452927e+002dB,4.30076580435063e+000°)	(6.89715777726983e+000dB,9.51737397115864e+001°)
